video,script,self-confidence,creativity,enthusiasm,future-orientation,trustworthiness,proactive-personality
33,"video33.mp4
 

 Speaker1: [00:00:01] One of the earliest moments that I remember as a child. I was 4 or 5 years old, and at the time we had already had five kids in the family, so getting quality time with my father alone was a big deal for me. We had a ritual in La Verne, California, where we would go and drive down into the Foothill Boulevard from Wheeler Avenue into an old Wienerschnitzel house drive through. But the cool thing about this was you'd come off the street and you would drive through the house to make your order and pick up your bag of chili dogs. There was a little patio with palm trees and umbrellas, but it was always that the smell, the moment with my father, the camaraderie, the laughter, and then the guy with the uniform on smiling as he's handing us two big bags. Let me leaning out With with with a, with service and you know like in a charisma in his eyes and enjoy your hot dogs. Enjoy your chili dogs. It's just it was a I knew it I instead of being a doctor, instead of being a lawyer, instead of being this, my daddy was in restaurants. I said, I'm going to be, I want to, I want to, I want to make people feel that way. But in 1995, Jamba Juice opened in Old Town Pasadena, where I was working as a Barneys Limited, a pub for my father, and sort of the quick casual segment grabbed my psyche.
 

 Speaker1: [00:01:35] I got to experience growth brands Jamba Juice, Chipotle, Coffee Bean and Tea Leaf Noodles and company watched how the infrastructure was built. The leadership was brought on, marketing was was, was given leeway. And how you go from 19 restaurants or 19 stores to 300, how do you go from 300 to 1200? How do you go from 1500 to 5000? And I was very fortunate to be around growth brands where that was happening. Bruddas is a culmination of embracing and dying on the sword for those brands, and working the same way I would if it was my own. If you were working and put yourself in in in a guest shoes, how would you want to be treated? And that is really, really catapulted ourselves into not only world famous food and outstanding desserts, but our service is second to none. And that VAT that brings me back to being a child of five years old again, and hopefully one day inspiring that another five, six, seven year old as they go through our drive thrus, or that moment with their mother, their moment with their father, that moment with their grandma, their auntie or their uncle, and getting really good food. That's hopefully what we get to do.",73.36,6,3,0.8,7,10
34,"video34.mp4
 

 Speaker1: [00:00:01] Hey, folks. Thanks. Thanks for stopping by the page. I want to introduce myself to you a little bit, and then some about my company and my project. First off, my name is Josh. I am a husband, and I'm a father of two amazing little boys, a three and a half year old and a two week old. So lots going on in our got lots going on around our house right now. I've been in the food industry for about ten years, and I worked everything from coffee shops to fine dining bakeries and candy shops. Everything in between. Several years ago, I had the opportunity to go to Le Cordon Bleu in Portland, Oregon. I learned a lot, had a great time. And I think that's really where the, the starting a chocolate company really began for me. You know I enjoy eating chocolate. Who doesn't? But I think that's where my eyes are open to what's out there. Really? And the chocolate world is such a big, big world. And so a lot of folks ask, why are you working in chocolate? And definitely why do you want to start your own company? Start your own bean to bar chocolate company. A lot of great companies out there. And that's true. There are. You know, today you can go to the grocery store and you can buy an organic chocolate bar.
 

 Speaker1: [00:01:23] That in itself isn't very unique, but that's the first pillar we're going to start with. We're going to be importing beans and sugar cane sugar, both organic from the Caribbean region, Belize, Dominican Republic as well as Guatemala and Central America, South America, Peru right now has some phenomenal products being produced. So organic is the first pillar. Second is compostable. The term compostable and biodegradable are tossed around very loosely now and kind of as the same word, but they're very, very different. Biodegradable doesn't really a definition to it. Anything is biodegradable. I mean, your cell phone a thousand years will biodegrade. I don't want that. Compostable. On the other hand, has a definition, has a scientific definition, and is that product has to be broken down into organic material in 100, 180 days or less. So the packaging that our chocolate organic chocolate bars will be in once it gets wet. So it's not going to happen to all the bars in it. That product, that packaging will break down in 180 days. It's not going to leave more of a mess in a landfill. It's not going to leave behind toxic chemicals in the in the earth. It just won't. Third is solar or alternative energy.
 

 Speaker1: [00:02:54] Right now I'm looking at solar companies. So we're going to produce chocolate that is made in a factory that is run by solar power. Chocolate bar that is put into a compostable packaging. And then that chocolate itself is organic. So like I said, I'm a father of two little boys, and I definitely want to leave a legacy for those for those little guys. Once I'm gone, you know, I want our company to be a benchmark in the industry For being environmentally friendly. By our by our cocoa from small farmers. Want to support those guys, you know, want to make a better life for them. So it's just important as a small business owner right now that we're taking care of the resources that we have in this earth. And so it's just very, very important to me. Those are values that you I think are important. I ask for your support. You know, right now starting this Kickstarter page is my goal is $2,900 with that money. I will buy the first set of small, small batch equipment. There are some equipment I can buy that I'll have to actually make. Starting out very small. There isn't a lot of equipment available for for small batch, so some of it is is homemade.
 

 Speaker1: [00:04:20] As you know, to with Kickstarter. If your goal is not met you don't receive any of the money. The money goes back to where it came from. So my goal 2900, $2,900 and we're two weeks into the campaign right now. This campaign actually launched the morning after my son was born. Second son was born. So he's a little late getting this video out. But I wanted to share with you some of my heart, some of where we're going with the company as a company, and the difference between us and the other chocolate makers out there. There are some great artists out there, but I want us to be different, and I want to produce a unique product for the consumer so they can enjoy good chocolate that they know is also good for the environment. So if you support us, I sent you donate some money. The as as somebody who donates, you'll be one of the first people to, to get to sample our chocolate. And I look forward to getting that chocolate made and shipped out to you guys. And definitely look forward to tasting it myself. So I ask that you support us. I ask that you help this project out, and I will be very, very grateful for your help. Thank you.",65.02,7,2,3.04,7,10
35,"video35.mp4
 

 Speaker1: [00:00:00] Michael Smith here, founder of Firebird Chocolate and Coffee. I'm excited to tell you about our Kickstarter campaign. We really need your help. We're looking to expand our presence and our growth in the Pacific Northwest with Certified Organic and Rainforest Alliance chocolate bars. Our first three flavors came out less than a year ago. Is there an Espresso Dark that came out last October, soon followed by a milk chocolate with 41% cocoa and a huckleberry dark at 60% chocolate. We've also added two direct trade single origin coffees, one from the Ergashev region of Ethiopia and another from Chocola, Guatemala. A small 52 family village in Guatemala. That is fantastic coffee. We need your help though. I'm asking you to consider pledging as little as a dollar as much as you want. In fact, we have ten $500 Firebird Founders Club slots that we'd love to fill as well. Please share this on your social media channels, Facebook, Twitter and any other channel that you have. And because everybody deserves great chocolate, please and thank you for supporting Firebird Chocolate. We hope to see you on that pledge board soon, so we can put more chocolate into your hands and throughout the world. Thank you.",99,6,11,1.29,6,9
36,"video36.mp4
 

 Speaker1: [00:00:12] Hello Kickstarter! We are Stefan and Bui, the makers of John Gilbert. It was our passion for sustainability and exotic foods that inspired us and producing an insect powered protein bar. John Gilbert is a great tasting product that is full of high quality proteins and minerals that will keep you going whilst taking a swing in the jungle or doing whatever you normally do. For the past year, we've done a lot of work with a great team of specialists to make Jungle Bar a reality. We've made countless prototypes and had lots of testing sessions with normal people like me to ensure an outstanding product. Today, Jungle Bar is ready for production and it's unlike any other protein bar on the market.
 

 Speaker2: [00:01:15] John Cooper is a delicious protein bar made with sesame, sunflower and pumpkin seeds, chocolate and sustainably sourced insect ingredients. Cricket flour.
 

 Speaker1: [00:01:25] Cricket flour.
 

 Speaker2: [00:01:27] Oh yes. The cricket flour we use comes from All-American farm raised crickets that have been dried and ground down to a fine flour. This cricket flour has a high protein content is full of iron, calcium, B12, vitamin Omega, threes and sixes, making it the perfect ingredient for our bars. We see John Cooper playing a big part in a food revolution towards a more conscious era of food, where edible insects are a big part of our diets.
 

 Speaker1: [00:02:00] Our mission is simple to normalise edible insects in the Western world and creating a product that people love, just like Apple does with computers. Only skip the apples and add the insects. Kickstarter.
 

 Speaker2: [00:02:17] Please help us out in funding the first production batch. Grab a jungle bar and start supporting us today.",82.24,7,1,0.6,4,10
38,"video38.mp4
 

 Speaker1: [00:00:00] Bonjour, Monsieur Clément. Sebastian. Ensemble nous avons créé Jimenez avec pour objectif de faire entre les insectes durablement dans Notre alimentation européenne pour répondre aux grandes enjeux de la croissance de la population et la réduction des ressources pour parvenir. Nous avons créé en la premiere gamme de insect aperitif pour vous faire découvrir la question la faveur des molitor et de maniere ludique et de complexes d'appui. Nous avons réussi a co-anchor des personnes dans toute l'Europe a croquet nos insects entier pour la parole.
 

 Speaker2: [00:00:31] Et maintenant, la fete des insects aperitif commence as democratizer nous voulons allé de plus en plus loin et des produits dans la vie de tous les jours et sont plus facile memes pour le moyen téméraire. Nous avons donc une gamme de cette delicious bar au frisk et la destinée de l'énergie dans la vie de tous les jours. En plus de la insect completely invisible. Le nombre nutriment is a production of impact environmental compared to other sources of protein. Sit down. Appropriately. In Parisian fabric. Delicious and super insect aperitif. Apres avoir taste test et retest. Ingredients de texture pendant des mois finale.
 

 Speaker1: [00:01:27] Present bar gourmand fabriqué a partir des ingredients de l'agriculture biologique et de farine de grillon européenne, et comme de tous les projets, IL y a une belle équipe. Je vous present, Florian said Guillaume Fabricant. A delicious bar a L'Atelier Raphael. Not super famiglietti major qui parle au monde entier. Et enfin Constance, Nicolette et Thibault Grasset, qui vous pouvez retrouver dans les magazine?
 

 Speaker2: [00:01:52] Vous nous avons besoin de super bar Jimenez et découverte des insectes comestibles. Merci.",36.44,8,11,0,0,9
39,"video39.mp4
 

 Speaker1: [00:00:02] Okay. We're on a mission to revolutionize the food industry by introducing edible insects. That's why we've spent the past half year perfecting the recipes of our insect bars. We call them dare squares. We use about 15% insects in our dare squares. But you won't get any wings stuck between your teeth as we make the insects into flour. First, insect flour is an amazingly nutritious product. It's rich in protein, omega three vitamins and minerals. We take the nutritious insect flour and mix it in with all the other natural and organic ingredients, dates, nuts, and seeds. The result is two types of delicious dare squares that are super healthy and also good for the environment.
 

 Speaker2: [00:00:49] A cricket requires 12 times less feed than a cow to produce the same amount of food, and 2000 times less water, and they hardly take up any space.
 

 Speaker3: [00:01:04] Wow. Yeah, I can vouch for it. Yeah, definitely. Yeah. Yeah, totally. It's good. I can taste the peanuts. A bit of salt. It's like. It's great. It tastes great. It's like a bar. It's like an energy bar. It's a good.
 

 Speaker4: [00:01:17] Combination. Sweet and sour.
 

 [00:01:20] Good. I like it.
 

 Speaker1: [00:01:24] So far, we've been producing our dear squares at home. It's been really fun to talk to people and see how they react. And we've been all sold out at every Christmas market. Now we're ready to move into a professional kitchen. That's pretty expensive, but it will make it possible to expand so that we can sell our products online and in shops.
 

 Speaker5: [00:01:45] We truly believe insects are the food of the future and we need to start now.
 

 Speaker1: [00:01:49] So dare yourself and a friend to join our climate friendly initiative so we can reach our Kickstarter goal and begin the first production.",92.89,10,5,1.39,5,10
40,"video40.mp4
 

 Speaker1: [00:00:00] Hi, I'm Jordan from Food First. Remember when you couldn't pronounce acai? Then there were goji berries and everyone started drinking kombucha. Well, get ready folks. I'm about to tell you about prebiotics and introduce you to a new superfruit. Let's start with prebiotics and why they're important. You really want to give your gut what it needs, and the probiotic bacteria in your gut need prebiotic fibers to survive. At Food First, we've developed a fermented multi prebiotic and protein mix made from organic wheat, oats, barley malt and flax. It's called probiotic, and it makes it easy for you to keep your microbiome strong. Now for that new superfruit. This deep purple berry from Canada is called the Saskatoon. Pretty cool name But what are they and what do they taste like? Saskatoons are high in antioxidants and provide an excellent source of vitamin C, manganese, magnesium, and iron. They're not new, of course. First Nations peoples across the Canadian Prairies have valued their health benefits for thousands of years, and they remain highly valued today. Saskatoons taste like blueberries, but a little earthier with a hint of apple.
 

 Speaker1: [00:01:19] Our saskatoons Saskatoon's Why Canadians are so good at hockey. We don't know if Saskatoon's will make you a good hockey player. That could be maple syrup. We've been blending probiotic with honey, fruits, nuts and other healthy ingredients to create delicious gut health bars for a few years now. Once we tried Saskatoons, we knew we had to make a bar that would give you an antioxidant bump to go with the prebiotic boost. Then we thought, if one super fruit is good, wouldn't three be better? So we've got saskatoons, aronia berries and blueberries. Throw in some tasty sunflower butter and this new bar, Sunny Saskatoon Berry is just about ready. Here's where you come in. With your help, we can import and process these awesome berries to create an even more beneficial microbiome bar flavor with three super fruits and four prebiotics. Our sunny Saskatoon Berry Microbiome Bars will keep your gut happy. They might even improve your hockey performance. This statement has not been evaluated by the Canadian Hockey League. From all of us at Food First thank you and stay microbiome strong.",96.54,6,8,1.23,,8
41,"video41.mp4
 

 Speaker1: [00:00:08] Hey guys. My name is Scott and I'm the founder and CEO of a new superfood snack bar made with cricket flour. The bar is called a veil bar, and you might be wondering why a veil? Well, the definition of a veil is to be of benefit or of use to consumers. And that perfectly lines up with our mission statement, which is to make the world a healthier place. So you might be wondering what makes these bars different? Well, aside from having cricket flour, they're functional in nature. So what does functional mean? Well, instead of eating a 300 calorie protein bar with 20g of sugar in the middle of the day, we've formulated each of our bars to serve specific needs. Our first bar, Work Out Hard, has the optimal macronutrient composition for pre or post workout. Our stomach repair bar is formulated with bananas, ginger, and cinnamon, all items known to relieve GI distress. And our regained focus bar is created with blueberries, goji berries, and green tea matcha to give your brain a quick boost. But that's very sustainable. Everything you eat either makes you healthier or less healthy. Shouldn't there be an option to eat something healthier while on the go? As the amount of processed food in our society increases, so does the incidence of disease.
 

 Speaker1: [00:01:19] And that is where the bar was born. All of Vail bars are made with premium quality ingredients their gluten, dairy, and soy free, non-GMO, and mostly organic. They truly are the superior quality snack bar. Some of you may be wondering why. Crickets. Well, the truth is, the current trends of animal agriculture are just unsustainable. In contrast, crickets are 60 to 70% protein by body weight. They're incredibly high in fiber, calcium, vitamin B12, and iron. They also have a much smaller footprint on the environment. They consume less water, less feed, and they produce less greenhouse gases than traditional animals. Since starting in February 2016, we've made so much progress. We've worked with nutritionists, food scientists, and recipe development specialists to perfect our first bar. Our workout hard bar. We have also done blind taste tests, partnered with a crooked supplier, and have a co-manufacturing facility ready to produce our first large order. All we need is you guys. We're asking for $10,000 to help us produce our first large production run. Some portion of the funds will also go to perfecting our next two recipes. We really hope you'll join us on this amazing, incredible journey to make the world a better and healthier place. And thank you so much for watching.",95.59,7,13,1.71,5,10
42,"video42.mp4
 

 Speaker1: [00:00:00] Hi, I'm James Oliver, Atlas bar founder and certified sports nutritionist. When I set out to create the world's best tasting, high performance protein bar, everyone told me it was going to be impossible.
 

 Speaker2: [00:00:11] You'll never be able to compete against those big brands and all their multi-million dollar ad campaigns. Plus, you're just too young.
 

 Speaker3: [00:00:24] Not to mention, you don't have any experience.
 

 Speaker1: [00:00:27] Instead of stopping me, their doubts only fueled my determination to succeed. I launched the company in 2017 using seed money that I earned from driving Uber. I even started selling Atlas bars door to door. And today, thanks to thousands of loyal customers and friendly neighbors. Atlas bars are the number one top selling, keto friendly protein bar. But don't take my word for it. Atlas Bar is the next generation protein bar. It has everything that you need and nothing that you don't. 15g of protein to build lean muscle, 11g of fiber for optimal gut health, and 11g of heart healthy fats. Naturally sweetened with monk fruit. There's only 2 to 3g of sugar and 4 to 5 net carbs, making it the perfect on the go breakfast, meal replacement, post-workout recovery snack, or guilt free dessert. Did I mention that every Atlas Bar is keto approved, gluten free, soy free, and of course, has no GMOs? Not only that, but Atlas Bar is one of the first and only protein bars to feature an innovative blend of adaptogen superfoods that help the body adapt to stress, fight fatigue, and boost endurance at the cellular level. These science-backed superfoods have been revered for centuries around the world as nature's gift to mankind for their immune boosting and hormone balancing properties that promote strength, vitality and vigor. I've been in the test kitchen working day and night on three new flavor recipes that will rock your world. Introducing Atlas Bar's new peanut butter and raspberry mint chocolate chip and almond chocolate chip. Your support will help bring these flavors to life by funding our first full production run. The test batch was very well received, and word on the street has me thinking that we hit a home run.
 

 Speaker4: [00:02:42] That's really good. It's very chocolatey. Yeah, it's vicious, so it's good that everything in here is recognizable and healthy.
 

 Speaker5: [00:02:48] Wow, man.
 

 Speaker6: [00:02:49] I've never had a protein bar that tastes like cookie dough.
 

 Speaker7: [00:02:54] Are these available yet? For real? These are so good. Oh my God.
 

 Speaker4: [00:02:59] Like, where can I buy these? Are these gonna be in Whole Foods or sprouts or what?
 

 Speaker7: [00:03:04] Atlas, I love it. I'm on board.
 

 Speaker1: [00:03:06] When I set out to create the world's best tasting, high performance protein bar, I embarked on a journey everyone said was going to be impossible. More importantly, what I've learned is that through hard work and dedication, the unconquerable human spirit is capable of achieving extraordinary things. I knew you could do it, honey.
 

 Speaker3: [00:03:27] Yeah, right. And I'm Jeff Bezos.
 

 Speaker2: [00:03:30] Alexa, shut up and order me another box of Atlas bars.
 

 Speaker1: [00:03:34] Starting at just $27, the Atlas Bar Kickstarter rewards structure offers tons of perks and, of course, early access to our new flavors. You can even build your own custom 30 count value pack, so go ahead and mix and match whatever flavors your heart desires. So lend me your support by sharing this video with friends and family and back our Kickstarter today! Together we can hold each other up and fuel the impossible.",40.96,10,2,1.35,6,10
43,"video43.mp4
 

 Speaker1: [00:00:01] Did you know an active person can burn 3000 calories a day and fuel up on 20,000 nutrition bars in their lifetime? Third, the weight of these nutrition bars is from additives such as refined sugars, fructose, and chemicals, all harsh on your digestive system and even worse, for your health. Oh yeah. That's why we engineered the bar in the jar with all raw and uncooked ingredients to best retain nutritional value, vitamins and minerals as a semi-solid. We put it in a jar so you can fuel on the go as much as you need. Reseal and put back in your pocket without the fear that it will melt or get wet. If you're doing water sports, it also comes in a Ziploc wrapper as a solid we call the brick, which provides a different pocket experience, and a gel pack is on the way.
 

 Speaker2: [00:00:56] Hey, Marco, toss me a few more of those jars.
 

 Speaker1: [00:00:59] Hi, I'm Marco, creator of bar in the jar. You may know not all calories are made equal. That's why the bar in the jar is calorie optimized from all natural ingredients and is protein rich to promote better metabolic health. To deliver sustainable energy with the highest natural calorie per gram ratio than any other product out there. And to eliminate the spike and crash feelings you usually get with other products. The bar in the jar is potassium rich for better cardio health, and is moderately naturally sweetened with raw honey and sun dried on sulfured. Apricots. Best of all, it is kid approved. Thank you so much for your support and in return, we're going to fuel your everyday adventure. What's in your jar?",83.36,7,3,1.25,,8
44,"video44.mp4
 

 Speaker1: [00:00:00] I'm here to share with you my ultimate health food snack hack for the family granola bars. They're convenient, and when I make them from home, I know exactly what goes into them. And I can spend time with my kids while doing something for them. For me, the hard part came after I baked the granola bar mix, and I had to cut them up into bar shapes. The baked granola bar mix was either super hard to cut through, or they would fall apart when I cut them up. This is why I made the granola bar pan to make the process much easier. When I decided to make my own pan, I knew it had to do three things. First, it had to make granola bars into actual bar shapes that didn't fall apart. Second, it had to make it so that the bars were easily popped out and removable from the pan. And third, it had to be even easier to clean. It's dishwasher safe, or you can wash it by hand. In addition to these features, I've added Phil guidelines on the inside of each cavity so you can see that you filled each of them equally. As a result, your bars bake evenly and they are all the same size. Also, it's made out of food grade silicone so it cools much faster than a metal pan would. Here's what also sets the granola bar pan Japan, apart from other silicone pans. Other pan number one are. Other pan number two. Other pan number three. Wah!
 

 Speaker2: [00:01:23] Wah! Wah!
 

 Speaker1: [00:01:24] I designed the pan to be more rigid and sturdy. And now here's the granola bar pan. Ooh. I don't do floppy silicone, and neither should you. I've already invested in the tooling and molding for the granola bar pan, and this is proof that it exists and works. But I want you to use it, too, so you can also enjoy making your own granola bars for your friends and family or yourself. I need your support here, not in my kitchen, but here on Kickstarter in order to build a foundation for a successful business so people everywhere can buy granola bar pans. I truly believe that everyone will benefit from the granola bar pan. And not just parents and bakers. Whoever you are, however you live. The granola bar pan will help you make amazing granola bars for you, your friends, and your family. This is the granola bar pan. We're the most honest. Granola bars you'll eat are the ones you make yourself. I'm Katrina, and thank you for backing this. Hey, guys, where'd you put the oats? Let's make another batch.",64.33,6,9,0.62,6,8
45,"video45.mp4
 

 Speaker1: [00:00:07] Welcome, my friends. Welcome to my cereal factory. I'm Megan, owner and serial killer connoisseur of serial killer sweets, where we provide gooey marshmallow treats in any flavor. We started out first making our Unicorn Swirl, which is a Fruity Pebbles and white chocolate and fancy sprinkles. And that turned into something super crazy, where we have over 20 different flavors and sizes that you can order for birthdays, corporate events, or you can just currently pop into our shop and grab a quick treat. And now we need your help in realizing our vision of becoming San Antonio's only cereal bar. This cereal bar is going to be the first of its kind here, where we do crazy cereal bowls. And you can also just come and get a regular bowl of your favorite right off the shelf. We want to create a community space where everybody feels welcome no matter who you are, what you are, or how you got here. So come see us! Check out our rewards below. Give us a call if you have any questions. Thanks for your support.",99,6,7,0.95,,10
46,"video46.mp4
 

 Speaker1: [00:01:13] Hi, I'm Johnny and I'm Allie, and we're the co-founders of Eat Your Coffee. We created the very first organic energy bar that's caffeinated with a full cup of real coffee, and each bar is also vegan and gluten free and made with ingredients found in your pantry, not the laboratory like oats, nuts, dates, and of course, a full cup of coffee to keep you going. We came to you back in 2014 and are back, launching a whole new flavour and a whole new look. We began this journey three years ago when we were freshmen in college, considering late to our 8 a.m. financial accounting class and with the idea of eating your coffee. We came to Kickstarter where you guys helped us fund our very first production run. You helped us go from producing ten bars an hour to over half a million bars with our manufacturing facility, and since then we've been serious about getting people to eat their coffee. We're now in over 1000 retail locations around the US, and on a mission to help people energize their lives and get more out of it.
 

 Speaker2: [00:02:17] Sounds good. I'm going to the gym. This is the perfect time.
 

 Speaker1: [00:02:20] You like it? I do. Now we're graduating from college, and we're excited to expand to eat your coffee. This is the biggest step since we launched, and we want you to be a part of it. So please support the campaign so you can eat your coffee.",99,7,2,1.04,,10
47,"video47.mp4
 

 Speaker1: [00:00:04] Hey. Guys, welcome to Austin, Texas. Austin is a lively city full of healthy people with an active lifestyle. Here you'll find cyclists, runners, kayakers, mountain bikers, rock climbers, the casual walker, and the health enthusiast, all of which are seeking to have fun and stay in shape at the same time. Austin is a friendly city for anybody with an active lifestyle to live. You'll find miles of hiking and biking trails right in town, in addition to outdoor rock climbing, natural springs for swimming, and a lake right in the middle of town. And Austin isn't lacking when it comes to sports shops, either. With a plethora of running stores and a bike shop on nearly every corner. You will never have trouble finding an outlet to fulfill your equipment needs. In addition to quality sporting outlets, Austin is full of healthy eateries and locally owned coffee shops. You can't drive more than a few blocks without passing a great coffee shop, smoothie joint or other healthy eatery. All this to say, Austin is the perfect place to launch Adventure Naturals 100% all natural organic raw food snack company specializing in raw energy bars and seasoned nuts. Our bars are better than any other on the market because 100% of the ingredients are organic. Additionally, our bars and nuts are air dried, not baked. The result? A more nutritious food bar and nut full of healthy enzymes and nutrients.
 

 Speaker2: [00:01:26] Hi, I'm Caleb Simpson, founder of Adventure Naturals and its always been my dream to own my own business, but I've never found any that I was truly passionate about. In the past, I had experimented with a couple of different ideas, one of them being like freelance graphic design, freelance web design and also freelance photography business. But I never really, truly enjoyed what I was doing in those. But what I know for sure I'm passionate about is things like outdoor activities such as rock climbing, cycling, running just pretty much anything outdoors. And I also discovered in the past year that I have a big passion for eating healthy and raw foods. Just anything that's 100% all natural, organic, essentially to fuel your adventure, so to speak. I've just really realized just providing your body with this all natural foods is it's the best source of energy possible. And also, just with doing all these adventurous things I'm doing, I'm finding it's difficult to eat on the road. You go into a gas station, you're just going to find nothing but junk food. And there's so many fast food restaurants. It's hard to eat healthy. And so what we want to do with Adventure Naturals is bring you a healthy option. Something that's easy and quick to grab on the go and you could carry with you in your backpack or in your car. And this is quick and easy to grab.
 

 Speaker2: [00:02:38] And another thing that gave me the idea of it was about a year ago, I posted on one of my energy bear recipes on my blog, The Organic Climber, and several people complimented me on the recipe, saying how great it was even on Twitter. A couple people told me they would be willing to pay me to produce the bars, so at that point the seed was planted. But it wasn't until about a year later until I decided to team up with Chris, who you're about to hear from, and just go in and take off with the idea. Just knowing there's people out there really do want to eat healthy, and that's why we think this is going to be successful, because we know that you want to eat healthy. We know that you're looking for healthy options out there, and that's what we want to provide. In addition to just like the background I have in marketing and Chris's expertise in the health industry, we know that this is going to be a successful project, but we're going to need your help. So check out the project, read the details in the bio and check out the different gifts, the different giving levels that we're going to provide. We've got some great things we're going to give. So check it out and we'll hope you support us. Thanks.
 

 Speaker1: [00:03:40] Hey everyone. Chris Herbert here with Adventure Naturals co-founder and I just wanted to give you guys a little brief description of who I am. I'm actually been in the industry for roughly about coming up on 11 years, and I've worked in a health food store, I've managed a health food store, co-owned a health food store, and now I actually work for a for an herb company going around the US educating people about alternative health, healthy lifestyles, healthy eating. And so I've been in the business a long, long time. And so that's why I really wanted to start Adventure Naturals in order to bring good quality ingredients, good quality food to the people. Healthy snacks. Healthy alternatives for snacks to the masses. So it's just all about healthy eating. And that's really what we're boiling it down to. So I noticed there was a there was kind of a a niche in the market that had to be served. And that's what we're here to do. We're here to to give people quick snacks, especially people that are on the go, active people. So it's a quick, simple, healthy snacks to fuel your adventure. That's what Adventure Natural is. That's what we really believe in. That's a little bit about who I am. Also, I love to do a lot of outdoor things. I love to even just be out outside in nature like we are now. Play disc golf, regular golf, basketball, baseball, any type of sports. And then with my other co-founder, Caleb Simpson, also some rock climbing. He'll teach me a little bit about that too. Kayaking. I'm really a big fan of also, so anything outdoors, that's what I like to be a part of. So thank you guys for watching our video. Thanks for your support as well on Kickstarter. So we really appreciate it. Thanks again.
 

 Speaker2: [00:05:25] Now here's we need your help. The start up costs to make this all happen come close to $10,000. And we're asking you to help us with half of that. Your donation will go to pay for things like kitchen equipment, food dehydrators, our first month's rent, and our first batch of product. Every gift level receives at least a food bar from our first batch of product, so help our dream of providing healthy, organic snack foods to active people in the Austin community and beyond become a reality. And remember, we actually need more than we are trying to raise here on Kickstarter. So please keep on giving. Even after we've met our goal here on Kickstarter.
 

 [00:05:58] We are going to stop and smell the roses, but love the life you love.",73.47,6,2,1.97,6,8
48,"video48.mp4
 

 Speaker1: [00:00:00] Do you care about what you eat?
 

 [00:00:06] Some will say.
 

 Speaker1: [00:00:11] We do because it's hard to get the right nutrition. Billions of human beings need protein to exist. But a typical protein sources are flooded with problems chemicals, antibiotics, overprocessed foods, missing amino acids, water pollution, greenhouse gas emissions. Too much waste. Deforestation. Inhumane animal living conditions. We searched for a source of protein with the same quality as meat, an equally sustainable as plants. We found a cricket protein. Dried and milled crickets are superior, sustainable and a moral source of complete protein. In production, they need less feed, less water, less space, and can be fed with plant based food production byproducts that would normally be wasted. Crickets are also an excellent source of vitamin B12, iron, and calcium. So we took this amazing protein, mixed it with natural ingredients, and create a nutritious protein bars and delicious energy bars. We have teamed up with a renowned chef with 13 years of experience in cooking with insects. We used only natural and the best quality ingredients. No compromise, no chemicals. Solely delicious, nutritious and from sustainable resources. Our protein bar is the world's only all natural bar with 20g of complete protein inside. And our energy bar is the most nutritious, guilt free, and delicious snack. It gives you the much needed protein or is a quick, healthy snack.
 

 Speaker2: [00:02:09] Hi! We successfully created our protein and energy bars. But to make them economically viable, we will need to meet minimum production quantities. We also plan to introduce more products.
 

 Speaker3: [00:02:21] But in order to do so, we need your help to bring the project further. Let's change our diet to a superior and far more sustainable one. Pre-order our bars or pledge for rewards and help to bring sense foods to life.",91.14,10,9,0.86,,10
49,"video49.mp4
 

 Speaker1: [00:00:00] You are a workplace warrior. Before launch, you've already cleared your inbox, crushed three conference calls, and reprogrammed the office AC. Yay! But by 3:00, you've transformed into an office sloth.
 

 Speaker2: [00:00:19] Why doesn't my brain work?
 

 Speaker1: [00:00:23] So you grab an energy bar, which works great until it doesn't. Hi, I'm Will, and I too was an office sloth with snack regret. Which is why I created IQ bar, the first nutrition bar optimized for sustained mental energy and performance. Most bars are packed with carbs and sugar, causing blood sugar spikes that may help you scale a mountain, but will sabotage your check in with Bernard. Armed with a background in psychology and neuroscience from Harvard and a love of snacks.
 

 Speaker3: [00:01:07] I set off on a year long journey to flip the conventional, high carb, low healthy, fat bar on its head.
 

 Speaker1: [00:01:15] The result is the perfect brain food. Not only do IQ bars have just 8 to 9 net carbs, saving you from the blood sugar roller coaster, most bars will take you on, but each bar is optimized around five critical nutrients scientifically shown to support long lasting, crash free energy, improved cognitive performance, and a healthier brain. And the best part? These nutrients come from ingredients in eight year old could find in a grocery store. Ingredients so clean even your yoga teacher Moonbeam approves. With a bar this healthy, you may assume it tastes like a boot dipped in kale juice. Gross. I'm biased, but let's hear from a stranger, sir.
 

 Speaker4: [00:02:04] Tastes like heaven.
 

 Speaker1: [00:02:06] So here's the deal. We've conducted a small sample run of our first three flavors, and we're ready to produce more. But we need your help to produce our first full production run. So please back us for a few boxes and help us make food for thought a reality.",78.32,10,0,1.92,,10
